Technology,Zip_Code,Count,Income,Pop
PHEV,98235,2,NA,73
BEV,98236,77,78650,6002
PHEV,98236,26,78650,6002
BEV,98237,3,51823,4410
PHEV,98237,5,51823,4410
PHEV,98238,1,NA,0
BEV,98239,66,66592,7215
PHEV,98239,37,66592,7215
BEV,98240,12,72647,3145
PHEV,98240,1,72647,3145
BEV,98241,3,44694,1920
PHEV,98241,2,44694,1920
BEV,98243,13,72279,589
PHEV,98243,2,72279,589
BEV,98244,16,64763,2725
PHEV,98244,3,64763,2725
BEV,98245,101,54219,3826
PHEV,98245,27,54219,3826
BEV,98247,31,60273,9792
PHEV,98247,12,60273,9792
BEV,98248,95,76684,25391
PHEV,98248,46,76684,25391
BEV,98249,66,73615,4399
PHEV,98249,27,73615,4399
BEV,98250,178,70613,8107
PHEV,98250,50,70613,8107
BEV,98251,11,73274,4108
PHEV,98251,15,73274,4108
BEV,98252,20,82121,9697
PHEV,98252,10,82121,9697
BEV,98253,24,78661,1794
PHEV,98253,12,78661,1794
BEV,98257,19,64295,4207
PHEV,98257,15,64295,4207
BEV,98258,248,96325,33205
PHEV,98258,118,96325,33205
BEV,98260,85,72697,5685
PHEV,98260,29,72697,5685
BEV,98261,51,60284,2796
PHEV,98261,20,60284,2796
BEV,98262,15,63819,903
PHEV,98262,6,63819,903
BEV,98263,1,94167,83
BEV,98264,61,68174,20890
PHEV,98264,24,68174,20890
BEV,98266,6,30083,4167
PHEV,98266,7,30083,4167
BEV,98267,1,NA,334
BEV,98270,175,83014,51293
PHEV,98270,86,83014,51293
BEV,98271,86,79494,29130
PHEV,98271,43,79494,29130
BEV,98272,175,91458,30051
PHEV,98272,70,91458,30051
BEV,98273,104,62094,31085
PHEV,98273,52,62094,31085
BEV,98274,82,79872,17768
PHEV,98274,35,79872,17768
BEV,98275,226,108536,21336
PHEV,98275,76,108536,21336
BEV,98276,2,63462,727
BEV,98277,96,60658,38553
PHEV,98277,88,60658,38553
BEV,98278,1,NA,2176
PHEV,98278,2,NA,2176
BEV,98279,24,58125,614
PHEV,98279,4,58125,614
BEV,98280,10,53667,438
PHEV,98280,3,53667,438
BEV,98281,24,43510,1116
PHEV,98281,6,43510,1116
BEV,98282,137,80965,17042
PHEV,98282,70,80965,17042
PHEV,98283,1,75149,342
BEV,98284,69,66548,27106
PHEV,98284,29,66548,27106
BEV,98286,5,68750,158
PHEV,98286,3,68750,158
BEV,98288,2,46500,231
PHEV,98288,1,46500,231
BEV,98290,279,99171,36399
PHEV,98290,98,99171,36399
BEV,98292,103,84844,22246
PHEV,98292,63,84844,22246
BEV,98294,17,75663,7147
PHEV,98294,16,75663,7147
BEV,98295,3,55750,2540
PHEV,98295,4,55750,2540
BEV,98296,300,137500,30702
PHEV,98296,98,137500,30702
BEV,98297,1,NA,48
BEV,98303,9,80078,1181
PHEV,98303,6,80078,1181
BEV,98304,2,47384,1070
PHEV,98304,2,47384,1070
BEV,98305,2,36875,343
BEV,98310,66,56292,20575
PHEV,98310,29,56292,20575
BEV,98311,76,73708,27946
PHEV,98311,43,73708,27946
BEV,98312,136,64400,31086
PHEV,98312,78,64400,31086
BEV,98315,10,57134,6506
PHEV,98315,2,57134,6506
BEV,98320,8,50694,1273
PHEV,98320,3,50694,1273
BEV,98321,40,96183,15801
PHEV,98321,32,96183,15801
BEV,98323,3,80179,770
BEV,98325,9,48542,1472
PHEV,98325,2,48542,1472
BEV,98327,40,90298,9435
PHEV,98327,27,90298,9435
BEV,98328,18,77196,10767
PHEV,98328,27,77196,10767
BEV,98329,57,84565,11493
PHEV,98329,29,84565,11493
BEV,98331,3,41619,6482
PHEV,98331,4,41619,6482
BEV,98332,180,102635,18655
PHEV,98332,79,102635,18655
BEV,98333,48,105750,3918
PHEV,98333,34,105750,3918
BEV,98335,256,98584,25631
PHEV,98335,125,98584,25631
BEV,98337,18,51250,7168
PHEV,98337,8,51250,7168
BEV,98338,60,81504,28783
PHEV,98338,52,81504,28783
BEV,98339,15,60034,3072
PHEV,98339,4,60034,3072
BEV,98340,13,70238,2879
PHEV,98340,12,70238,2879
BEV,98342,23,69792,1323
PHEV,98342,2,69792,1323
BEV,98345,7,48319,430
PHEV,98345,1,48319,430
BEV,98346,93,84148,9964
PHEV,98346,32,84148,9964
BEV,98349,17,62385,4588
PHEV,98349,16,62385,4588
BEV,98351,5,46556,1335
PHEV,98351,5,46556,1335
BEV,98354,17,73867,7221
PHEV,98354,9,73867,7221
BEV,98355,1,20532,842
PHEV,98355,1,20532,842
BEV,98356,3,43173,2010
PHEV,98356,1,43173,2010
PHEV,98357,1,44464,1560
BEV,98358,23,51429,831
PHEV,98358,5,51429,831
BEV,98359,28,77904,5044
PHEV,98359,12,77904,5044
BEV,98360,39,86341,13726
PHEV,98360,16,86341,13726
BEV,98361,1,39429,796
PHEV,98361,5,39429,796
BEV,98362,74,50333,24027
PHEV,98362,62,50333,24027
BEV,98363,31,57118,14197
PHEV,98363,16,57118,14197
BEV,98365,34,62500,5029
PHEV,98365,22,62500,5029
BEV,98366,105,68653,34908
PHEV,98366,76,68653,34908
BEV,98367,127,83571,29826
PHEV,98367,70,83571,29826
BEV,98368,184,54436,15868
PHEV,98368,115,54436,15868
BEV,98370,214,84409,31278
PHEV,98370,99,84409,31278
BEV,98371,85,76729,21866
PHEV,98371,52,76729,21866
BEV,98372,81,75005,26422
PHEV,98372,56,75005,26422
BEV,98373,64,73133,26344
PHEV,98373,45,73133,26344
BEV,98374,130,83644,41613
PHEV,98374,79,83644,41613
BEV,98375,65,85417,31955
PHEV,98375,40,85417,31955
BEV,98376,11,64048,2053
PHEV,98376,6,64048,2053
BEV,98377,2,42520,1785
PHEV,98377,2,42520,1785
BEV,98380,18,86333,4049
PHEV,98380,9,86333,4049
BEV,98381,2,80870,315
PHEV,98381,1,80870,315
BEV,98382,181,53350,28942
PHEV,98382,104,53350,28942
BEV,98383,91,82982,21941
PHEV,98383,44,82982,21941
BEV,98385,1,85781,400
PHEV,98385,1,85781,400
BEV,98387,74,75308,49386
PHEV,98387,63,75308,49386
BEV,98388,51,82330,6627
PHEV,98388,25,82330,6627
BEV,98390,31,66151,10935
PHEV,98390,23,66151,10935
BEV,98391,261,103505,52070
PHEV,98391,127,103505,52070
BEV,98392,23,68850,3181
PHEV,98392,11,68850,3181
BEV,98394,7,71146,1467
PHEV,98394,5,71146,1467
BEV,98396,3,80938,761
PHEV,98396,1,80938,761
BEV,98402,31,54579,6208
PHEV,98402,14,54579,6208
BEV,98403,43,63507,8130
PHEV,98403,24,63507,8130
BEV,98404,62,54406,36243
PHEV,98404,38,54406,36243
BEV,98405,79,54043,23626
PHEV,98405,45,54043,23626
BEV,98406,114,82111,23354
PHEV,98406,50,82111,23354
BEV,98407,161,80196,21439
PHEV,98407,93,80196,21439
BEV,98408,35,59207,21101
PHEV,98408,25,59207,21101
BEV,98409,70,53328,25903
PHEV,98409,36,53328,25903
BEV,98418,22,61250,9333
PHEV,98418,19,61250,9333
BEV,98421,1,NA,1557
PHEV,98421,5,NA,1557
BEV,98422,142,98360,21490
PHEV,98422,54,98360,21490
BEV,98424,26,69848,11542
PHEV,98424,16,69848,11542
BEV,98433,13,44943,19698
PHEV,98433,18,44943,19698
BEV,98439,1,39219,5488
PHEV,98439,2,39219,5488
BEV,98443,17,95868,5571
PHEV,98443,11,95868,5571
BEV,98444,51,48998,34456
PHEV,98444,30,48998,34456
BEV,98445,44,65851,32066
PHEV,98445,41,65851,32066
BEV,98446,18,81096,11394
PHEV,98446,21,81096,11394
BEV,98465,35,55588,6973
PHEV,98465,18,55588,6973
BEV,98466,141,66966,29164
PHEV,98466,70,66966,29164
BEV,98467,83,69337,15460
PHEV,98467,44,69337,15460
BEV,98498,94,67201,28754
PHEV,98498,53,67201,28754
BEV,98499,55,42665,31522
PHEV,98499,49,42665,31522
BEV,98501,447,74558,42874
PHEV,98501,331,74558,42874
BEV,98502,275,69326,35018
PHEV,98502,132,69326,35018
BEV,98503,144,65536,40452
PHEV,98503,86,65536,40452
BEV,98506,139,70180,17060
PHEV,98506,91,70180,17060
BEV,98512,147,76294,30383
PHEV,98512,81,76294,30383
BEV,98513,144,76620,35757
PHEV,98513,86,76620,35757
BEV,98516,168,80258,25766
PHEV,98516,79,80258,25766
BEV,98520,34,50849,24286
PHEV,98520,30,50849,24286
BEV,98524,12,83659,4481
PHEV,98524,10,83659,4481
BEV,98526,1,48750,208
PHEV,98526,1,48750,208
PHEV,98527,1,29911,285
BEV,98528,32,57235,11477
PHEV,98528,25,57235,11477
BEV,98530,1,51250,668
PHEV,98530,1,51250,668
BEV,98531,39,47874,26031
PHEV,98531,35,47874,26031
BEV,98532,41,62547,24084
PHEV,98532,46,62547,24084
PHEV,98533,1,54714,369
BEV,98535,1,NA,757
